Repository;FileName;Line Index;Line Date;Line Author;Line Length
trial-css-filter;main.css;4;1;1;0
trial-css-filter;main.css;5;1;1;8
trial-css-filter;main.css;6;1;1;14
trial-css-filter;main.css;7;1;1;12
trial-css-filter;main.css;8;1;1;1
trial-css-filter;main.css;9;1;1;0
trial-css-filter;main.css;10;1;1;5
trial-css-filter;main.css;11;1;1;12
trial-css-filter;main.css;12;1;1;13
trial-css-filter;main.css;13;1;1;12
trial-css-filter;main.css;14;1;1;14
trial-css-filter;main.css;15;1;1;20
trial-css-filter;main.css;16;1;1;24
trial-css-filter;main.css;17;1;1;1
trial-css-filter;main.css;18;1;1;0
trial-css-filter;main.css;19;1;1;7
trial-css-filter;main.css;20;1;1;12
trial-css-filter;main.css;21;1;1;12
trial-css-filter;main.css;22;1;1;20
trial-css-filter;main.css;23;1;1;19
trial-css-filter;main.css;24;1;1;26
trial-css-filter;main.css;25;1;1;36
trial-css-filter;main.css;26;1;1;28
trial-css-filter;main.css;27;1;1;25
trial-css-filter;main.css;28;1;1;1
trial-css-filter;main.css;29;1;1;0
trial-css-filter;main.css;30;1;1;14
trial-css-filter;main.css;31;1;1;15
trial-css-filter;main.css;32;1;1;12
trial-css-filter;main.css;33;1;1;20
trial-css-filter;main.css;34;1;1;11
trial-css-filter;main.css;35;1;1;13
trial-css-filter;main.css;36;1;1;19
trial-css-filter;main.css;37;1;1;10
trial-css-filter;main.css;38;1;1;1
trial-css-filter;main.js;1;1;1;85
trial-css-filter;main.js;2;1;1;128
trial-css-filter;main.js;3;1;1;47
trial-css-filter;main.js;4;1;1;0
trial-css-filter;main.js;5;1;1;47
trial-css-filter;main.js;6;1;1;17
trial-css-filter;main.js;7;1;1;7
trial-css-filter;main.js;8;1;1;12
trial-css-filter;main.js;9;1;1;12
trial-css-filter;main.js;10;1;1;31
trial-css-filter;main.js;11;1;1;19
trial-css-filter;main.js;12;1;1;16
trial-css-filter;main.js;13;1;1;17
trial-css-filter;main.js;14;1;1;14
trial-css-filter;main.js;15;1;1;17
trial-css-filter;main.js;16;1;1;15
trial-css-filter;main.js;17;1;1;20
trial-css-filter;main.js;18;1;1;21
trial-css-filter;main.js;19;1;1;21
trial-css-filter;main.js;20;1;1;15
trial-css-filter;main.js;21;1;1;12
trial-css-filter;main.js;22;1;1;15
trial-css-filter;main.js;23;1;1;14
trial-css-filter;main.js;24;1;1;16
trial-css-filter;main.js;25;1;1;14
trial-css-filter;main.js;26;1;1;13
trial-css-filter;main.js;27;1;1;11
trial-css-filter;main.js;28;1;1;37
trial-css-filter;main.js;29;1;1;37
trial-css-filter;main.js;30;1;1;15
trial-css-filter;main.js;31;1;1;51
trial-css-filter;main.js;32;1;1;65
trial-css-filter;main.js;33;1;1;65
trial-css-filter;main.js;34;1;1;25
trial-css-filter;main.js;35;1;1;37
trial-css-filter;main.js;36;1;1;51
trial-css-filter;main.js;37;1;1;52
trial-css-filter;main.js;38;1;1;26
trial-css-filter;main.js;39;1;1;12
trial-css-filter;main.js;40;1;1;38
trial-css-filter;main.js;41;1;1;38
trial-css-filter;main.js;42;1;1;17
trial-css-filter;main.js;43;1;1;27
trial-css-filter;main.js;44;1;1;2
trial-css-filter;main.js;45;1;1;0
trial-css-filter;main.js;46;1;1;67
trial-css-filter;main.js;47;1;1;20
trial-css-filter;main.js;48;1;1;19
trial-css-filter;main.js;49;1;1;168
trial-css-filter;main.js;50;1;1;6
trial-css-filter;main.js;51;1;1;18
