Repository;Date;FileName;Line Index;Line Date;Line Author;Line Length
trial-css-filter;2022-01;LICENSE;other;6;1;1;77
trial-css-filter;2022-01;LICENSE;other;7;1;1;76
trial-css-filter;2022-01;LICENSE;other;8;1;1;73
trial-css-filter;2022-01;LICENSE;other;9;1;1;69
trial-css-filter;2022-01;LICENSE;other;10;1;1;56
trial-css-filter;2022-01;LICENSE;other;11;1;1;0
trial-css-filter;2022-01;LICENSE;other;12;1;1;78
trial-css-filter;2022-01;LICENSE;other;13;1;1;47
trial-css-filter;2022-01;LICENSE;other;14;1;1;0
trial-css-filter;2022-01;LICENSE;other;15;1;1;74
trial-css-filter;2022-01;LICENSE;other;16;1;1;72
trial-css-filter;2022-01;LICENSE;other;17;1;1;75
trial-css-filter;2022-01;LICENSE;other;18;1;1;70
trial-css-filter;2022-01;LICENSE;other;19;1;1;77
trial-css-filter;2022-01;LICENSE;other;20;1;1;77
trial-css-filter;2022-01;LICENSE;other;21;1;1;9
trial-css-filter;2022-01;README.md;.md;1;1;1;12
trial-css-filter;2022-01;README.md;.md;2;1;1;0
trial-css-filter;2022-01;README.md;.md;3;1;1;30
trial-css-filter;2022-01;index.htm;.htm;1;1;1;15
trial-css-filter;2022-01;index.htm;.htm;2;1;1;16
trial-css-filter;2022-01;index.htm;.htm;3;1;1;6
trial-css-filter;2022-01;index.htm;.htm;4;1;1;22
trial-css-filter;2022-01;index.htm;.htm;5;1;1;31
trial-css-filter;2022-01;index.htm;.htm;6;1;1;39
trial-css-filter;2022-01;index.htm;.htm;7;1;1;7
trial-css-filter;2022-01;index.htm;.htm;8;1;1;0
trial-css-filter;2022-01;index.htm;.htm;9;1;1;6
trial-css-filter;2022-01;index.htm;.htm;10;1;1;25
trial-css-filter;2022-01;index.htm;.htm;11;1;1;23
trial-css-filter;2022-01;index.htm;.htm;12;1;1;31
trial-css-filter;2022-01;index.htm;.htm;13;1;1;7
trial-css-filter;2022-01;index.htm;.htm;14;1;1;7
trial-css-filter;2022-01;main.css;.css;1;1;1;6
trial-css-filter;2022-01;main.css;.css;2;1;1;28
trial-css-filter;2022-01;main.css;.css;3;1;1;1
trial-css-filter;2022-01;main.css;.css;4;1;1;0
trial-css-filter;2022-01;main.css;.css;5;1;1;8
trial-css-filter;2022-01;main.css;.css;6;1;1;14
trial-css-filter;2022-01;main.css;.css;7;1;1;12
trial-css-filter;2022-01;main.css;.css;8;1;1;1
trial-css-filter;2022-01;main.css;.css;9;1;1;0
trial-css-filter;2022-01;main.css;.css;10;1;1;5
trial-css-filter;2022-01;main.css;.css;11;1;1;12
trial-css-filter;2022-01;main.css;.css;12;1;1;13
trial-css-filter;2022-01;main.css;.css;13;1;1;12
trial-css-filter;2022-01;main.css;.css;14;1;1;14
trial-css-filter;2022-01;main.css;.css;15;1;1;20
trial-css-filter;2022-01;main.css;.css;16;1;1;24
trial-css-filter;2022-01;main.css;.css;17;1;1;1
trial-css-filter;2022-01;main.css;.css;18;1;1;0
trial-css-filter;2022-01;main.css;.css;19;1;1;7
trial-css-filter;2022-01;main.css;.css;20;1;1;12
trial-css-filter;2022-01;main.css;.css;21;1;1;12
trial-css-filter;2022-01;main.css;.css;22;1;1;20
trial-css-filter;2022-01;main.css;.css;23;1;1;19
trial-css-filter;2022-01;main.css;.css;24;1;1;26
trial-css-filter;2022-01;main.css;.css;25;1;1;36
trial-css-filter;2022-01;main.css;.css;26;1;1;28
trial-css-filter;2022-01;main.css;.css;27;1;1;25
trial-css-filter;2022-01;main.css;.css;28;1;1;1
trial-css-filter;2022-01;main.css;.css;29;1;1;0
trial-css-filter;2022-01;main.css;.css;30;1;1;14
trial-css-filter;2022-01;main.css;.css;31;1;1;15
trial-css-filter;2022-01;main.css;.css;32;1;1;12
trial-css-filter;2022-01;main.css;.css;33;1;1;20
trial-css-filter;2022-01;main.css;.css;34;1;1;11
trial-css-filter;2022-01;main.css;.css;35;1;1;13
trial-css-filter;2022-01;main.css;.css;36;1;1;19
trial-css-filter;2022-01;main.css;.css;37;1;1;10
trial-css-filter;2022-01;main.css;.css;38;1;1;1
trial-css-filter;2022-01;main.js;.js;1;1;1;85
trial-css-filter;2022-01;main.js;.js;2;1;1;128
trial-css-filter;2022-01;main.js;.js;3;1;1;47
trial-css-filter;2022-01;main.js;.js;4;1;1;0
trial-css-filter;2022-01;main.js;.js;5;1;1;47
trial-css-filter;2022-01;main.js;.js;6;1;1;17
trial-css-filter;2022-01;main.js;.js;7;1;1;7
trial-css-filter;2022-01;main.js;.js;8;1;1;12
trial-css-filter;2022-01;main.js;.js;9;1;1;12
trial-css-filter;2022-01;main.js;.js;10;1;1;31
trial-css-filter;2022-01;main.js;.js;11;1;1;19
trial-css-filter;2022-01;main.js;.js;12;1;1;16
trial-css-filter;2022-01;main.js;.js;13;1;1;17
trial-css-filter;2022-01;main.js;.js;14;1;1;14
trial-css-filter;2022-01;main.js;.js;15;1;1;17
trial-css-filter;2022-01;main.js;.js;16;1;1;15
trial-css-filter;2022-01;main.js;.js;17;1;1;20
trial-css-filter;2022-01;main.js;.js;18;1;1;21
trial-css-filter;2022-01;main.js;.js;19;1;1;21
trial-css-filter;2022-01;main.js;.js;20;1;1;15
trial-css-filter;2022-01;main.js;.js;21;1;1;12
trial-css-filter;2022-01;main.js;.js;22;1;1;15
trial-css-filter;2022-01;main.js;.js;23;1;1;14
trial-css-filter;2022-01;main.js;.js;24;1;1;16
trial-css-filter;2022-01;main.js;.js;25;1;1;14
trial-css-filter;2022-01;main.js;.js;26;1;1;13
trial-css-filter;2022-01;main.js;.js;27;1;1;11
trial-css-filter;2022-01;main.js;.js;28;1;1;37
trial-css-filter;2022-01;main.js;.js;29;1;1;37
trial-css-filter;2022-01;main.js;.js;30;1;1;15
trial-css-filter;2022-01;main.js;.js;31;1;1;51
trial-css-filter;2022-01;main.js;.js;32;1;1;65
trial-css-filter;2022-01;main.js;.js;33;1;1;65
trial-css-filter;2022-01;main.js;.js;34;1;1;25
trial-css-filter;2022-01;main.js;.js;35;1;1;37
trial-css-filter;2022-01;main.js;.js;36;1;1;51
trial-css-filter;2022-01;main.js;.js;37;1;1;52
trial-css-filter;2022-01;main.js;.js;38;1;1;26
trial-css-filter;2022-01;main.js;.js;39;1;1;12
trial-css-filter;2022-01;main.js;.js;40;1;1;38
trial-css-filter;2022-01;main.js;.js;41;1;1;38
trial-css-filter;2022-01;main.js;.js;42;1;1;17
trial-css-filter;2022-01;main.js;.js;43;1;1;27
trial-css-filter;2022-01;main.js;.js;44;1;1;2
trial-css-filter;2022-01;main.js;.js;45;1;1;0
trial-css-filter;2022-01;main.js;.js;46;1;1;67
trial-css-filter;2022-01;main.js;.js;47;1;1;20
trial-css-filter;2022-01;main.js;.js;48;1;1;19
trial-css-filter;2022-01;main.js;.js;49;1;1;168
trial-css-filter;2022-01;main.js;.js;50;1;1;6
trial-css-filter;2022-01;main.js;.js;51;1;1;18
